# S1 S2 MSE
2.50 1.60 0.05474
2.50 1.70 0.03044
2.50 1.80 0.01512
2.50 1.90 0.01452
2.50 2.00 0.01131
2.50 2.10 0.00272
2.50 2.20 0.00263
2.50 2.30 0.00097
2.50 2.40 0.00023
2.50 2.50 0.00000
2.50 2.60 0.00012
2.50 2.70 0.00006
2.50 2.80 0.00011
2.50 2.90 0.00015
2.50 3.00 0.00169

2.60 0.00 0.94388
2.60 0.10 0.66908
2.60 0.20 0.66353
2.60 0.30 0.56050
2.60 0.40 0.49964
2.60 0.50 0.35668
2.60 0.60 0.35219
2.60 0.70 0.27855
2.60 0.80 0.36727
2.60 0.90 0.39803
2.60 1.00 0.39003
2.60 1.10 0.47049
2.60 1.20 0.41028
2.60 1.30 0.26102
2.60 1.40 0.12940
2.60 1.50 0.09848
2.60 1.60 0.06583
2.60 1.70 0.02270
2.60 1.80 0.02732
2.60 1.90 0.01051
2.60 2.00 0.01287
2.60 2.10 0.00181
2.60 2.20 0.00061
2.60 2.30 0.00114
2.60 2.40 0.00009
2.60 2.50 0.00022
2.60 2.60 0.00000
2.60 2.70 0.00027
2.60 2.80 0.00009
2.60 2.90 0.00096
2.60 3.00 0.00011

2.70 0.00 1.20474
2.70 0.10 0.63929
2.70 0.20 0.69173
2.70 0.30 0.50585
2.70 0.40 0.50326
2.70 0.50 0.48248
2.70 0.60 0.35854
2.70 0.70 0.34398
2.70 0.80 0.36755
2.70 0.90 0.36726
2.70 1.00 0.32869
2.70 1.10 0.38193
2.70 1.20 0.44216
2.70 1.30 0.30004
2.70 1.40 0.15309
2.70 1.50 0.08773
2.70 1.60 0.05756
2.70 1.70 0.01983
2.70 1.80 0.02810
2.70 1.90 0.01215
2.70 2.00 0.01108
2.70 2.10 0.00326
2.70 2.20 0.00137
2.70 2.30 0.00197
2.70 2.40 0.00197
2.70 2.50 0.00055
2.70 2.60 0.00001
2.70 2.70 0.00000
2.70 2.80 0.00021
2.70 2.90 0.00003
2.70 3.00 0.00004

2.80 0.00 1.01387
2.80 0.10 0.82339
2.80 0.20 0.79352
2.80 0.30 0.56424
2.80 0.40 0.41160
2.80 0.50 0.44113
2.80 0.60 0.41326
2.80 0.70 0.41039
2.80 0.80 0.40926
2.80 0.90 0.37003
2.80 1.00 0.36735
2.80 1.10 0.37966
2.80 1.20 0.45248
2.80 1.30 0.26817
2.80 1.40 0.16480
2.80 1.50 0.07006
2.80 1.60 0.07261
2.80 1.70 0.06275
2.80 1.80 0.03255
2.80 1.90 0.00634
2.80 2.00 0.01545
2.80 2.10 0.00237
2.80 2.20 0.00985
2.80 2.30 0.00294
2.80 2.40 0.00624
2.80 2.50 0.00013
2.80 2.60 0.00044
2.80 2.70 0.00001
2.80 2.80 0.00000
2.80 2.90 0.00000
2.80 3.00 0.00038

2.90 0.00 0.80309
2.90 0.10 0.93493
2.90 0.20 0.69256
2.90 0.30 0.60013
2.90 0.40 0.43543
2.90 0.50 0.37419
2.90 0.60 0.45393
2.90 0.70 0.43231
2.90 0.80 0.34030
2.90 0.90 0.27097
2.90 1.00 0.37765
2.90 1.10 0.43837
2.90 1.20 0.34647
2.90 1.30 0.26487
2.90 1.40 0.17212
2.90 1.50 0.11381
2.90 1.60 0.06183
2.90 1.70 0.05549
2.90 1.80 0.02557
2.90 1.90 0.03575
2.90 2.00 0.00985
2.90 2.10 0.01352
2.90 2.20 0.00959
2.90 2.30 0.00101
2.90 2.40 0.00252
2.90 2.50 0.00017
2.90 2.60 0.00019
2.90 2.70 0.00003
2.90 2.80 0.00001
2.90 2.90 0.00000
2.90 3.00 0.00000

3.00 0.00 1.08230
3.00 0.10 0.93924
3.00 0.20 0.78585
3.00 0.30 0.75187
3.00 0.40 0.39860
3.00 0.50 0.39126
3.00 0.60 0.37178
3.00 0.70 0.30388
3.00 0.80 0.27519
3.00 0.90 0.41180
3.00 1.00 0.30569
3.00 1.10 0.33894
3.00 1.20 0.44206
3.00 1.30 0.41985
3.00 1.40 0.17187
3.00 1.50 0.10525
3.00 1.60 0.04912
3.00 1.70 0.03697
3.00 1.80 0.04598
3.00 1.90 0.03352
3.00 2.00 0.01592
3.00 2.10 0.01079
3.00 2.20 0.01275
3.00 2.30 0.01290
3.00 2.40 0.00642
3.00 2.50 0.00051
3.00 2.60 0.00013
3.00 2.70 0.00185
3.00 2.80 0.00002
3.00 2.90 0.00000
3.00 3.00 0.00000

