#time          Q              r            MSE
57.9621   0.999995   0.999997   -7.54435e-09
58.1053   0.999995   0.999997   -9.81936e-09
58.2485   0.999995   0.999997   7.25645e-10
58.3917   0.999995   0.999998   1.71779e-08
58.6417   0.999995   0.999998   1.24685e-08
58.8917   0.999996   0.999998   1.09939e-08
59.1417   0.999996   0.999998   1.83566e-08
59.3917   0.999996   0.999998   -3.88238e-09
59.6417   0.999996   0.999998   7.74548e-09
59.8917   0.999996   0.999998   1.24126e-08
60.1417   0.999997   0.999998   7.4803e-09
60.3917   0.999997   0.999998   -2.36387e-09
60.4203   0.999997   0.999998   -1.74812e-08
60.449   0.999997   0.999998   -4.0315e-09
60.4776   0.999997   0.999998   -1.55196e-08
60.5063   0.999997   0.999998   1.19631e-09
60.5349   0.999997   0.999998   1.82159e-08
60.5635   0.999997   0.999998   1.62433e-08
60.5922   0.999997   0.999998   -2.4448e-08
60.6208   0.999997   0.999998   1.55928e-08
60.6376   0.999997   0.999998   2.67635e-09
60.6544   0.999997   0.999998   6.61125e-09
60.6712   0.999997   0.999998   1.94735e-08
60.688   0.999997   0.999998   4.10248e-09
60.7048   0.999997   0.999998   6.39813e-09
60.7216   0.999997   0.999998   -9.889e-09
60.7384   0.999997   0.999998   5.70618e-10
60.7552   0.999997   0.999998   1.03469e-08
60.8391   0.999997   0.999999   3.02939e-09
60.9231   0.999997   0.999999   1.07135e-08
61.007   0.999997   0.999999   -1.35486e-08
61.091   0.999997   0.999999   5.3771e-09
61.341   0.999997   0.999999   2.23689e-08
61.591   0.999997   0.999999   2.12207e-08
61.841   0.999998   0.999999   1.90926e-08
62.091   0.999998   0.999999   1.46074e-08
62.341   0.999998   0.999999   1.89164e-08
62.591   0.999998   0.999999   1.20251e-08
62.841   0.999998   0.999999   2.85858e-09
63.091   0.999998   0.999999   7.17176e-09
63.1196   0.999998   0.999999   1.7075e-08
63.1483   0.999998   0.999999   1.40626e-08
63.1769   0.999998   0.999999   2.50818e-08
63.2055   0.999998   0.999999   -9.62294e-09
63.2342   0.999998   0.999999   2.44645e-10
63.2628   0.999998   0.999999   -2.23126e-09
63.2915   0.999998   0.999999   5.26051e-09
63.3201   0.999998   0.999999   3.16238e-09
63.4633   0.999998   0.999999   4.54601e-09
63.6065   0.999998   0.999999   -3.07163e-09
63.7497   0.999998   0.999999   1.12995e-08
63.8929   0.999998   0.999999   9.90021e-09
64.1429   0.999998   0.999999   1.87014e-08
64.3929   0.999999   0.999999   5.56578e-09
64.6429   0.999999   0.999999   5.65317e-09
64.8929   0.999999   0.999999   8.57579e-09
65.1429   0.999999   0.999999   1.97991e-08
65.3929   0.999999   0.999999   -2.93385e-09
65.6429   0.999999   0.999999   4.41204e-09
65.8929   0.999999   0.999999   1.42836e-08
65.9215   0.999999   0.999999   6.06331e-09
65.9502   0.999999   0.999999   -1.38176e-10
65.9788   0.999999   0.999999   3.20111e-09
66.0074   0.999999   0.999999   8.74509e-09
66.0361   0.999999   0.999999   1.63338e-08
66.0647   0.999999   0.999999   1.92959e-08
66.0934   0.999999   0.999999   -2.77493e-09
66.122   0.999999   0.999999   -2.61994e-09
66.1396   0.999999   0.999999   1.79859e-09
66.1573   0.999999   0.999999   7.49779e-09
66.1749   0.999999   0.999999   1.41707e-08
66.1926   0.999999   0.999999   -1.37379e-08
66.2102   0.999999   0.999999   1.32421e-08
66.2278   0.999999   0.999999   2.3345e-08
66.2455   0.999999   0.999999   -5.34325e-10
66.2631   0.999999   1   -1.05673e-08
66.274   0.999999   1   1.95826e-08
66.2849   0.999999   1   2.64739e-09
66.2958   0.999999   1   -6.88435e-09
66.3066   0.999999   1   1.07689e-08
66.3175   0.999999   1   1.08839e-09
66.3284   0.999999   1   -1.05361e-09
66.3393   0.999999   1   3.87111e-09
66.3502   0.999999   1   2.52618e-09
66.3575   0.999999   1   -6.51264e-09
66.3648   0.999999   1   5.69009e-09
66.3721   0.999999   1   1.13936e-08
66.3795   0.999999   1   -2.82994e-09
66.3868   0.999999   1   9.77166e-09
66.3941   0.999999   1   1.52974e-08
66.4015   0.999999   1   1.35253e-09
66.4088   0.999999   1   -1.26572e-08
66.4454   0.999999   1   4.86399e-09
66.4821   0.999999   1   1.28613e-08
66.5187   0.999999   1   -9.13873e-09
66.5553   0.999999   1   1.28966e-08
66.5741   0.999999   1   1.85277e-09
66.5928   0.999999   1   5.25184e-09
66.6116   0.999999   1   9.88498e-09
66.6303   0.999999   1   1.53016e-08
66.649   0.999999   1   7.14719e-10
66.6678   0.999999   1   6.98243e-09
66.6865   0.999999   1   -6.72749e-09
66.7053   0.999999   1   7.65288e-09
66.799   0.999999   1   1.22727e-08
66.8927   0.999999   1   -1.88338e-10
66.9864   0.999999   1   1.62752e-08
67.0801   0.999999   1   7.59638e-09
67.3301   0.999999   1   2.69217e-08
67.5801   0.999999   1   5.73222e-08
67.8301   0.999999   1   5.52035e-08
68.0801   0.999999   1   4.41806e-08
68.3301   0.999999   1   3.66877e-08
68.5801   0.999999   1   2.84158e-08
68.8301   0.999999   1   2.23562e-08
69.0801   1   1   2.01511e-08
69.3301   1   1   1.9207e-08
69.5801   1   1   1.89413e-08
69.8301   1   1   1.78709e-08
70.0801   1   1   1.40655e-08
70.1057   1   1   1.05555e-08
70.1313   1   1   1.79507e-08
70.1569   1   1   8.12135e-09
70.1825   1   1   8.83605e-09
70.208   1   1   9.87907e-09
70.2336   1   1   1.09694e-08
70.2592   1   1   1.48709e-08
70.2848   1   1   1.58275e-08
70.2995   1   1   1.57911e-08
70.3141   1   1   8.70224e-09
70.3288   1   1   1.83851e-08
70.3435   1   1   1.11651e-08
70.3581   1   1   1.81061e-08
70.3728   1   1   4.55538e-09
70.3875   1   1   1.49062e-08
70.4021   1   1   1.48787e-08
70.4754   1   1   1.35937e-08
70.5488   1   1   1.68743e-08
70.6221   1   1   2.21414e-08
70.6954   1   1   4.6459e-10
70.724   1   1   1.68009e-08
70.7527   1   1   2.04198e-09
70.7813   1   1   5.10834e-09
70.81   1   1   8.39461e-09
70.8143   1   1   -7.33434e-09
70.8187   1   1   -4.98734e-09
