#S1         S2       STVMSE
2.7   2   0.00991234
2.7   2.1   0.00619599
2.7   2.2   0.00369766
2.7   2.3   0.00205171
2.7   2.4   0.00100855
2.7   2.5   0.000394386
2.7   2.6   8.73607e-05
2.7   2.7   5.74167e-07
2.7   2.8   6.24174e-05
2.7   2.9   0.00020114
2.7   3   0.000366473

2.8   0   0.990628
2.8   0.1   0.841563
2.8   0.2   0.712309
2.8   0.3   0.602707
2.8   0.4   0.512521
2.8   0.5   0.441388
2.8   0.6   0.388741
2.8   0.7   0.353673
2.8   0.8   0.33452
2.8   0.9   0.328434
2.8   1   0.329701
2.8   1.1   0.32666
2.8   1.2   0.297267
2.8   1.3   0.222747
2.8   1.4   0.139916
2.8   1.5   0.087377
2.8   1.6   0.0566869
2.8   1.7   0.037591
2.8   1.8   0.0251282
2.8   1.9   0.016764
2.8   2   0.0110655
2.8   2.1   0.00716049
2.8   2.2   0.00449077
2.8   2.3   0.00268545
2.8   2.4   0.00149168
2.8   2.5   0.000733687
2.8   2.6   0.000286798
2.8   2.7   6.34967e-05
2.8   2.8   4.97021e-10
2.8   2.9   4.55024e-05
2.8   3   0.000145585

2.9   0   0.993127
2.9   0.1   0.843975
2.9   0.2   0.714633
2.9   0.3   0.604944
2.9   0.4   0.514673
2.9   0.5   0.443457
2.9   0.6   0.390732
2.9   0.7   0.355574
2.9   0.8   0.336396
2.9   0.9   0.330307
2.9   1   0.331669
2.9   1.1   0.328947
2.9   1.2   0.300266
2.9   1.3   0.226365
2.9   1.4   0.142977
2.9   1.5   0.0896937
2.9   1.6   0.0585337
2.9   1.7   0.039123
2.9   1.8   0.0264257
2.9   1.9   0.0178732
2.9   2   0.0120154
2.9   2.1   0.00797009
2.9   2.2   0.00517315
2.9   2.3   0.00324991
2.9   2.4   0.00194488
2.9   2.5   0.0010805
2.9   2.6   0.000530828
2.9   2.7   0.000207475
2.9   2.8   4.54303e-05
2.9   2.9   9.04291e-08
2.9   3   3.2628e-05

3   0   0.995007
3   0.1   0.845792
3   0.2   0.716386
3   0.3   0.606634
3   0.4   0.516301
3   0.5   0.445025
3   0.6   0.392244
3   0.7   0.357037
3   0.8   0.337826
3   0.9   0.331736
3   1   0.33317
3   1.1   0.330688
3   1.2   0.302536
3   1.3   0.229111
3   1.4   0.14532
3   1.5   0.0914785
3   1.6   0.0599658
3   1.7   0.0403198
3   1.8   0.0274478
3   1.9   0.018756
3   2   0.0127805
3   2.1   0.00863187
3   2.2   0.0057415
3   2.3   0.0037318
3   2.4   0.00234535
3   2.5   0.00140325
3   2.6   0.000778582
3   2.7   0.000382212
3   2.8   0.000149178
3   2.9   3.2959e-05
3   3   3.55186e-07

